1,THGQ_ALM_3984.wav,1,5.478731,5.560689
2,THGQ_ALM_3984.wav,2,10.740899,10.839129
3,THGQ_ALM_3984.wav,3,15.552172,15.659276
4,THGQ_ALM_3984.wav,4,17.757777,17.971589
5,THGQ_ALM_3984.wav,5,26.876217,26.963426
6,THGQ_ALM_3984.wav,6,31.024614,31.130281
7,THGQ_ALM_3984.wav,7,46.081932,46.173807
8,THGQ_ALM_3984.wav,8,54.144435,54.226122
9,THGQ_ALM_3984.wav,9,57.992582,58.11029
1,THGQ_ALM_3987.wav,1,4.395459,4.477709
2,THGQ_ALM_3987.wav,2,5.963064,6.026022
3,THGQ_ALM_3987.wav,3,9.898856,10.022794
4,THGQ_ALM_3987.wav,4,12.494669,12.812545
5,THGQ_ALM_3987.wav,5,15.364378,15.816087
6,THGQ_ALM_3987.wav,6,18.461983,18.945733
7,THGQ_ALM_3987.wav,7,24.24888,24.389651
8,THGQ_ALM_3987.wav,8,33.583153,33.657487
9,THGQ_ALM_3987.wav,9,35.301612,35.408862
10,THGQ_ALM_3987.wav,10,36.7868,37.173487
11,THGQ_ALM_3987.wav,11,42.61528,42.703551
12,THGQ_ALM_3987.wav,12,45.700468,45.820198
13,THGQ_ALM_3987.wav,13,49.189928,49.310782
14,THGQ_ALM_3987.wav,14,51.349116,51.656761
15,THGQ_ALM_3987.wav,15,54.701262,55.132971
16,THGQ_ALM_3987.wav,16,60.564972,60.651701
17,THGQ_ALM_3987.wav,17,76.794059,76.886767
18,THGQ_ALM_3987.wav,18,81.592206,81.676143
19,THGQ_ALM_3987.wav,19,84.930561,85.024248
20,THGQ_ALM_3987.wav,20,86.797144,86.936415
21,THGQ_ALM_3987.wav,21,88.746791,89.074166
22,THGQ_ALM_3987.wav,22,91.713645,92.2065
1,THGQ_CRU_3890.wav,1,1.402875,1.446021
2,THGQ_CRU_3890.wav,2,8.000335,8.056335
3,THGQ_CRU_3890.wav,3,15.452857,15.505337
4,THGQ_CRU_3890.wav,4,17.883316,17.943004
5,THGQ_CRU_3890.wav,5,22.932421,23.009567
6,THGQ_CRU_3890.wav,6,32.895111,32.945923
7,THGQ_CRU_3890.wav,7,37.026653,37.085508
8,THGQ_CRU_3890.wav,8,41.164258,41.215217
9,THGQ_CRU_3890.wav,9,44.329092,44.396238
10,THGQ_CRU_3890.wav,10,49.249073,49.307656
11,THGQ_CRU_3890.wav,11,52.542886,52.593552
12,THGQ_CRU_3890.wav,12,57.252116,57.319866
13,THGQ_CRU_3890.wav,13,59.73995,59.798533
14,THGQ_CRU_3890.wav,14,62.284679,62.358638
15,THGQ_CRU_3890.wav,15,65.699138,65.75768
16,THGQ_CRU_3890.wav,16,69.245285,69.32066
17,THGQ_CRU_3890.wav,17,72.538223,72.605327
18,THGQ_CRU_3890.wav,18,76.035516,76.09537
19,THGQ_CRU_3890.wav,19,78.981183,79.048058
20,THGQ_CRU_3890.wav,20,82.226871,82.268829
21,THGQ_CRU_3890.wav,21,85.03833,85.096517
22,THGQ_CRU_3890.wav,22,87.703768,87.778393
